               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  54,            0.036462,            0.032329,            0.085016,             0.74552,             0.68219,             0.73466,             0.49837,            0.032571,            0.018585,            0.079785,           0.0073765,           0.0073765,           0.0073765
                  55,            0.036607,            0.032637,            0.085065,             0.74307,             0.68635,             0.73624,             0.50018,            0.032512,            0.018571,            0.079785,            0.007327,            0.007327,            0.007327
                  56,             0.03614,              0.0322,             0.08471,             0.74312,             0.68794,             0.73722,             0.50102,            0.032444,            0.018541,            0.079765,           0.0072775,           0.0072775,           0.0072775
                  57,            0.036209,            0.032322,            0.084411,             0.73643,             0.69521,             0.73819,              0.5028,            0.032387,            0.018531,            0.079736,            0.007228,            0.007228,            0.007228
                  58,            0.036343,            0.032419,            0.084737,             0.73773,              0.6974,             0.73995,             0.50441,            0.032347,            0.018512,              0.0797,           0.0071785,           0.0071785,           0.0071785
                  59,             0.03598,            0.032047,            0.084587,             0.74323,             0.69334,              0.7407,              0.5058,            0.032314,            0.018493,            0.079674,            0.007129,            0.007129,            0.007129
                  60,             0.03574,            0.031964,            0.084377,             0.73864,             0.69813,             0.74205,             0.50664,            0.032265,            0.018479,            0.079642,           0.0070795,           0.0070795,           0.0070795
                  61,            0.035741,            0.032092,            0.084163,             0.74047,             0.69931,             0.74319,             0.50755,            0.032223,            0.018461,            0.079632,             0.00703,             0.00703,             0.00703
                  62,            0.035565,            0.031682,            0.084242,             0.74775,             0.69577,             0.74382,             0.50899,            0.032175,            0.018438,            0.079623,           0.0069805,           0.0069805,           0.0069805
                  63,            0.035659,            0.031928,            0.084367,             0.75054,             0.69234,             0.74499,             0.50975,            0.032136,            0.018419,            0.079606,            0.006931,            0.006931,            0.006931
                  64,            0.035513,            0.031518,            0.084168,             0.75089,             0.69254,             0.74633,             0.51071,            0.032098,            0.018394,            0.079594,           0.0068815,           0.0068815,           0.0068815
                  65,            0.035382,            0.031678,            0.084056,             0.75278,             0.69218,             0.74669,             0.51181,             0.03207,            0.018376,            0.079577,            0.006832,            0.006832,            0.006832
                  66,            0.035038,            0.031521,            0.083882,             0.75649,             0.69144,             0.74783,             0.51275,            0.032035,            0.018355,            0.079567,           0.0067825,           0.0067825,           0.0067825
                  67,             0.03524,            0.031487,            0.083985,             0.75251,             0.69502,             0.74812,             0.51377,            0.031998,            0.018336,            0.079555,            0.006733,            0.006733,            0.006733
                  68,            0.035163,            0.031274,            0.083692,              0.7535,              0.6948,             0.74866,             0.51416,            0.031967,            0.018317,            0.079534,           0.0066835,           0.0066835,           0.0066835
                  69,            0.034861,              0.0315,            0.083606,             0.74985,             0.69906,             0.74958,              0.5149,            0.031932,            0.018297,            0.079502,            0.006634,            0.006634,            0.006634
                  70,            0.034643,            0.031269,            0.083656,             0.75333,             0.69985,             0.75036,             0.51543,            0.031903,            0.018277,            0.079483,           0.0065845,           0.0065845,           0.0065845
                  71,            0.034765,            0.031181,            0.083487,             0.75532,             0.69854,             0.75121,             0.51667,            0.031876,             0.01826,             0.07946,            0.006535,            0.006535,            0.006535
                  72,            0.034606,            0.031245,            0.083443,             0.75282,             0.70228,             0.75148,             0.51769,             0.03185,             0.01824,            0.079443,           0.0064855,           0.0064855,           0.0064855
                  73,            0.034069,            0.030734,            0.083393,             0.75622,             0.70245,             0.75218,              0.5184,            0.031822,            0.018221,            0.079426,            0.006436,            0.006436,            0.006436
                  74,            0.034407,            0.030948,            0.083371,             0.75247,              0.7064,             0.75274,             0.51911,            0.031797,            0.018204,            0.079407,           0.0063865,           0.0063865,           0.0063865
                  75,            0.034219,            0.030672,            0.083432,             0.75227,             0.70711,             0.75326,             0.51939,            0.031772,            0.018189,            0.079395,            0.006337,            0.006337,            0.006337
                  76,             0.03427,            0.030606,            0.083242,             0.75288,             0.70677,             0.75339,             0.52024,            0.031745,            0.018175,            0.079382,           0.0062875,           0.0062875,           0.0062875
                  77,            0.034223,            0.030745,            0.083164,             0.75238,             0.70739,             0.75447,              0.5212,            0.031718,            0.018159,            0.079367,            0.006238,            0.006238,            0.006238
                  78,            0.034098,            0.030481,            0.083286,             0.75297,             0.70795,              0.7549,             0.52193,            0.031695,            0.018143,            0.079353,           0.0061885,           0.0061885,           0.0061885
                  79,             0.03409,            0.030593,            0.083029,              0.7527,             0.70833,             0.75538,             0.52279,            0.031669,            0.018127,            0.079343,            0.006139,            0.006139,            0.006139
                  80,             0.03398,            0.030477,            0.083113,             0.74998,             0.71041,             0.75555,             0.52323,            0.031644,            0.018113,            0.079328,           0.0060895,           0.0060895,           0.0060895
                  81,            0.033726,            0.030512,            0.082943,             0.75454,             0.70764,             0.75587,             0.52377,            0.031623,              0.0181,            0.079313,             0.00604,             0.00604,             0.00604
                  82,            0.033646,            0.030268,             0.08275,             0.75156,             0.71003,             0.75658,             0.52452,            0.031602,            0.018085,              0.0793,           0.0059905,           0.0059905,           0.0059905
                  83,            0.033482,            0.030162,            0.082855,             0.75131,             0.71188,             0.75674,              0.5251,            0.031583,            0.018068,            0.079287,            0.005941,            0.005941,            0.005941
                  84,            0.033525,             0.03033,              0.0828,             0.75078,             0.71227,               0.757,             0.52561,            0.031565,             0.01805,            0.079278,           0.0058915,           0.0058915,           0.0058915
                  85,            0.033374,            0.029979,            0.082614,             0.75064,             0.71357,             0.75756,              0.5262,            0.031546,            0.018033,            0.079267,            0.005842,            0.005842,            0.005842
                  86,            0.033593,            0.030086,            0.082776,              0.7541,             0.71205,             0.75826,             0.52686,            0.031528,            0.018017,            0.079258,           0.0057925,           0.0057925,           0.0057925
                  87,            0.033129,            0.030062,            0.082491,             0.75354,             0.71304,             0.75899,             0.52768,            0.031511,            0.018003,            0.079249,            0.005743,            0.005743,            0.005743
                  88,            0.033335,             0.02981,            0.082493,             0.75427,             0.71406,             0.75924,             0.52866,            0.031495,            0.017987,            0.079241,           0.0056935,           0.0056935,           0.0056935
                  89,            0.033197,             0.02998,            0.082509,             0.75429,             0.71454,              0.7599,             0.52905,            0.031475,            0.017973,             0.07923,            0.005644,            0.005644,            0.005644
                  90,            0.033034,            0.029585,            0.082346,             0.75726,             0.71325,             0.76043,              0.5298,            0.031456,            0.017959,             0.07922,           0.0055945,           0.0055945,           0.0055945
                  91,              0.0329,            0.029719,            0.082398,             0.75972,             0.71036,             0.76093,             0.53012,            0.031439,            0.017946,             0.07921,            0.005545,            0.005545,            0.005545
                  92,            0.032822,            0.029649,            0.082442,             0.76015,             0.71223,             0.76189,             0.53073,             0.03142,            0.017934,              0.0792,           0.0054955,           0.0054955,           0.0054955
                  93,             0.03283,            0.029499,            0.082264,             0.76105,             0.71065,             0.76236,             0.53134,            0.031405,            0.017923,            0.079191,            0.005446,            0.005446,            0.005446
                  94,            0.032904,             0.02946,            0.082273,             0.76415,             0.70844,             0.76284,             0.53193,            0.031388,            0.017908,             0.07918,           0.0053965,           0.0053965,           0.0053965
                  95,            0.032568,            0.029551,            0.082091,             0.76437,             0.70988,             0.76361,             0.53238,            0.031373,            0.017895,            0.079173,            0.005347,            0.005347,            0.005347
                  96,            0.032529,            0.029493,            0.082396,             0.76342,              0.7141,             0.76387,              0.5331,            0.031359,            0.017883,            0.079165,           0.0052975,           0.0052975,           0.0052975
                  97,            0.032531,            0.029428,             0.08201,             0.76291,              0.7154,             0.76439,             0.53374,            0.031347,             0.01787,            0.079157,            0.005248,            0.005248,            0.005248
                  98,            0.032508,            0.029555,            0.081872,             0.76175,             0.71583,             0.76465,              0.5341,            0.031334,            0.017858,            0.079149,           0.0051985,           0.0051985,           0.0051985
                  99,            0.032397,            0.029199,            0.081964,             0.77155,             0.70903,              0.7652,             0.53471,            0.031319,            0.017844,             0.07914,            0.005149,            0.005149,            0.005149
                 100,            0.032355,             0.02924,            0.081835,             0.77062,             0.70913,             0.76516,             0.53475,            0.031306,            0.017833,            0.079133,           0.0050995,           0.0050995,           0.0050995
