               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  62,            0.097927,              0.1648,            0.055902,             0.46145,             0.24933,              0.2286,             0.11463,            0.094082,             0.22964,            0.057982,            0.003961,            0.003961,            0.003961
                  63,            0.097965,             0.16371,            0.056072,             0.44484,             0.25102,             0.22817,             0.11461,            0.094055,              0.2293,            0.057988,            0.003862,            0.003862,            0.003862
                  64,            0.097629,             0.16372,            0.055991,             0.45076,             0.25163,             0.22976,              0.1156,            0.093998,             0.22925,            0.057924,            0.003763,            0.003763,            0.003763
                  65,            0.097735,             0.16311,            0.055868,              0.4483,             0.25314,             0.23072,             0.11619,            0.093935,             0.22915,            0.057922,            0.003664,            0.003664,            0.003664
                  66,            0.097808,             0.16322,            0.055929,             0.44758,             0.25599,             0.23171,             0.11688,            0.093869,             0.22898,             0.05791,            0.003565,            0.003565,            0.003565
                  67,            0.097355,             0.16169,            0.055796,             0.34418,             0.25524,             0.23225,             0.11671,            0.093863,             0.22907,            0.057891,            0.003466,            0.003466,            0.003466
                  68,             0.09774,             0.16155,            0.055762,             0.34699,             0.25521,             0.23267,             0.11729,             0.09382,             0.22895,             0.05787,            0.003367,            0.003367,            0.003367
                  69,            0.097484,              0.1627,            0.055841,             0.33962,             0.25745,             0.23289,             0.11751,            0.093803,             0.22896,            0.057874,            0.003268,            0.003268,            0.003268
                  70,            0.097381,             0.16139,            0.055704,             0.34485,             0.25702,             0.23382,             0.11822,            0.093787,             0.22875,            0.057838,            0.003169,            0.003169,            0.003169
                  71,             0.09721,             0.16292,            0.055661,             0.35334,             0.25859,             0.23604,             0.11928,            0.093719,             0.22902,            0.057818,             0.00307,             0.00307,             0.00307
                  72,            0.097009,             0.16103,            0.055617,             0.33948,             0.25974,             0.23712,             0.11957,            0.093703,               0.229,            0.057763,            0.002971,            0.002971,            0.002971
                  73,            0.097383,             0.16232,            0.055523,             0.44747,             0.25936,             0.23843,             0.12056,            0.093656,               0.229,            0.057788,            0.002872,            0.002872,            0.002872
                  74,            0.097002,             0.16246,            0.055719,             0.46029,             0.25819,             0.23929,             0.12187,            0.093617,             0.22879,            0.057786,            0.002773,            0.002773,            0.002773
                  75,             0.09752,             0.16453,            0.055506,             0.45619,             0.26008,             0.23973,             0.12134,            0.093606,             0.22893,            0.057739,            0.002674,            0.002674,            0.002674
                  76,            0.097228,             0.16318,            0.055554,             0.44491,             0.25828,             0.24093,             0.12179,            0.093566,             0.22876,            0.057753,            0.002575,            0.002575,            0.002575
