               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  49,            0.052081,            0.050884,            0.044291,             0.77911,             0.15379,             0.14863,            0.085245,            0.048731,            0.048794,            0.043545,            0.005248,            0.005248,            0.005248
                  50,            0.051771,            0.050649,            0.044122,             0.78314,             0.15379,             0.15065,            0.085943,            0.048635,            0.048802,            0.043457,            0.005149,            0.005149,            0.005149
                  51,            0.051626,             0.05026,            0.044187,             0.78088,             0.15144,             0.15512,            0.089128,            0.048608,            0.048742,            0.043452,             0.00505,             0.00505,             0.00505
                  52,            0.051417,            0.049919,            0.044323,             0.78298,             0.15745,             0.15816,            0.091009,            0.048555,            0.048663,            0.043385,            0.004951,            0.004951,            0.004951
                  53,            0.051466,            0.050431,            0.044151,             0.78311,             0.15437,             0.15645,            0.089831,            0.048395,            0.048531,            0.043433,            0.004852,            0.004852,            0.004852
                  54,            0.051549,            0.051371,            0.044164,             0.78375,             0.15645,             0.15741,            0.090452,            0.048351,             0.04857,            0.043398,            0.004753,            0.004753,            0.004753
                  55,            0.051195,            0.049964,            0.044119,             0.67494,             0.16412,             0.15958,            0.091727,            0.048314,            0.048514,            0.043411,            0.004654,            0.004654,            0.004654
                  56,            0.051403,            0.050457,             0.04421,             0.67614,             0.17608,             0.16117,             0.09252,            0.048224,            0.048437,             0.04339,            0.004555,            0.004555,            0.004555
                  57,            0.051221,            0.050378,             0.04419,             0.66684,             0.17118,             0.16093,             0.09207,            0.048266,            0.048468,            0.043397,            0.004456,            0.004456,            0.004456
                  58,            0.051186,            0.050699,            0.044156,             0.59377,             0.19172,             0.16046,            0.091867,            0.048057,            0.048356,            0.043382,            0.004357,            0.004357,            0.004357
                  59,            0.051007,            0.050332,            0.044209,             0.64009,             0.18288,              0.1628,            0.094308,            0.048029,             0.04822,            0.043364,            0.004258,            0.004258,            0.004258
                  60,            0.050924,            0.049686,            0.043982,             0.63257,             0.19106,             0.16607,            0.095758,             0.04791,            0.048188,            0.043325,            0.004159,            0.004159,            0.004159
                  61,            0.050703,            0.049631,             0.04408,              0.6437,             0.19209,             0.16633,             0.09568,            0.047857,            0.048094,            0.043319,             0.00406,             0.00406,             0.00406
                  62,              0.0507,            0.049841,            0.043982,             0.64673,             0.18588,              0.1661,            0.096013,            0.047857,            0.048106,            0.043316,            0.003961,            0.003961,            0.003961
                  63,            0.050704,            0.049501,            0.044009,             0.65978,             0.17926,             0.16871,            0.098865,            0.047833,             0.04802,             0.04328,            0.003862,            0.003862,            0.003862
                  64,            0.050452,            0.049348,            0.044001,             0.65492,             0.18391,             0.16938,            0.098855,            0.047674,            0.047962,            0.043286,            0.003763,            0.003763,            0.003763
                  65,            0.050418,            0.049558,            0.043921,             0.65002,             0.18916,             0.17081,             0.10052,            0.047651,            0.047934,            0.043292,            0.003664,            0.003664,            0.003664
                  66,            0.050332,            0.048902,            0.043938,             0.64969,             0.19093,             0.17426,             0.10199,            0.047599,            0.047896,            0.043224,            0.003565,            0.003565,            0.003565
                  67,            0.050411,            0.049744,            0.043938,             0.70284,             0.18167,             0.17242,             0.10165,            0.047569,            0.047826,             0.04324,            0.003466,            0.003466,            0.003466
                  68,            0.050473,            0.049807,            0.043902,             0.63633,             0.19105,             0.17246,              0.1019,            0.047475,            0.047817,            0.043252,            0.003367,            0.003367,            0.003367
                  69,            0.050097,            0.049338,            0.043856,             0.65053,             0.18678,             0.17539,             0.10243,            0.047477,            0.047873,            0.043224,            0.003268,            0.003268,            0.003268
                  70,            0.049932,            0.049422,            0.043828,             0.65332,             0.18769,             0.17735,              0.1032,            0.047449,              0.0478,            0.043194,            0.003169,            0.003169,            0.003169
                  71,            0.049928,            0.048861,            0.043866,             0.65095,             0.19118,             0.17672,             0.10375,            0.047358,            0.047722,            0.043227,             0.00307,             0.00307,             0.00307
                  72,            0.049835,            0.049103,            0.043735,             0.64687,             0.18828,             0.17646,             0.10377,            0.047344,            0.047632,            0.043222,            0.002971,            0.002971,            0.002971
                  73,            0.049795,            0.049251,            0.043817,             0.57063,             0.19897,             0.17697,             0.10429,            0.047317,            0.047635,            0.043209,            0.002872,            0.002872,            0.002872
                  74,            0.049737,            0.049046,            0.043856,             0.57467,             0.19496,              0.1779,             0.10541,            0.047279,            0.047638,            0.043169,            0.002773,            0.002773,            0.002773
                  75,            0.049732,            0.049604,            0.043868,             0.54626,             0.20196,             0.18092,             0.10632,            0.047272,            0.047613,            0.043157,            0.002674,            0.002674,            0.002674
                  76,            0.049493,            0.048584,            0.043708,             0.55376,             0.19188,             0.17986,              0.1062,            0.047218,            0.047567,            0.043144,            0.002575,            0.002575,            0.002575
                  77,            0.049664,            0.048673,             0.04389,              0.6613,             0.18818,             0.18132,             0.10824,            0.047193,            0.047549,            0.043118,            0.002476,            0.002476,            0.002476
                  78,            0.049439,            0.048898,            0.043695,             0.57165,             0.19082,             0.18151,             0.10785,             0.04714,            0.047561,             0.04313,            0.002377,            0.002377,            0.002377
                  79,             0.04933,            0.048418,            0.043662,             0.54786,             0.20482,              0.1839,             0.10899,            0.047136,            0.047586,            0.043118,            0.002278,            0.002278,            0.002278
                  80,            0.049282,            0.048448,            0.043694,             0.57684,             0.19665,             0.18639,             0.11015,            0.047098,            0.047561,            0.043104,            0.002179,            0.002179,            0.002179
                  81,            0.049185,             0.04861,            0.043594,             0.57292,             0.19469,             0.18806,             0.11123,            0.047084,            0.047537,            0.043092,             0.00208,             0.00208,             0.00208
                  82,            0.049298,            0.048914,            0.043673,             0.58036,             0.19389,             0.18839,             0.11189,            0.047031,            0.047516,            0.043075,            0.001981,            0.001981,            0.001981
                  83,            0.049045,            0.047851,            0.043604,             0.56876,             0.19725,             0.18916,             0.11237,             0.04699,             0.04747,            0.043048,            0.001882,            0.001882,            0.001882
                  84,            0.048917,            0.048279,            0.043614,             0.56897,             0.20219,             0.19062,             0.11235,            0.046949,            0.047446,            0.043035,            0.001783,            0.001783,            0.001783
                  85,            0.048806,            0.048195,             0.04354,             0.64267,             0.18751,             0.19229,             0.11358,            0.046904,             0.04741,            0.043031,            0.001684,            0.001684,            0.001684
                  86,            0.048848,            0.048145,            0.043593,             0.60617,             0.19243,             0.19238,             0.11402,            0.046896,            0.047405,            0.043021,            0.001585,            0.001585,            0.001585
